[08-02-2024 22:56:17 - Acción: Inicio de sesión test3@gmail.com
[08-02-2024 23:03:21 - Acción: Inicio de sesión test3@gmail.com
[08-02-2024 23:04:20 - Acción: Inicio de sesión test3@gmail.com
[08-02-2024 23:05:43 - Acción: Inicio de sesión test3@gmail.com
[08-02-2024 23:07:30 - Acción: Inicio de sesión test3@gmail.com
[08-02-2024 23:09:30 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:27:47 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:30:17 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:31:01 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:41:07 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:46:15 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:49:20 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 09:52:02 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 10:55:28 - Acción: Inicio de sesión test3@gmail.com
[09-02-2024 10:55:43 - Acción: Alta ALUMNO por fichero (Alumnos (1).xlsx): 
[09-02-2024 10:55:43 - Acción: 	Alta - 1@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 2@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 3@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 4@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 5@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 6@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 7@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 8@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 9@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 10@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 11@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 12@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 13@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 14@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 15@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 16@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 17@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 18@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 19@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 20@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 21@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 22@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 23@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 24@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 25@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 26@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 27@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 28@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 29@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 30@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 31@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 32@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 33@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 34@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 35@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 36@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 37@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 38@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 39@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 40@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 41@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 42@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 43@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 44@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 45@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 46@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 47@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 48@alu.ucam.edu
[09-02-2024 10:55:43 - Acción: 	Alta - 49@alu.ucam.edu
[09-02-2024 10:57:16 - Acción: Inicio de sesión test3@gmail.com
